reconciliation_status,match_id,tournament_id,season,match_date,home_team,away_team,score_source,matches_status,events_status,events_normal_home,events_normal_away
matched,9431712,56,20/21,2021-04-13,partick-thistle,clyde-fc,events_raw_normaltime,finished,finished,2.0,0.0
matched,9431717,56,20/21,2021-04-17,cove-rangers,falkirk-fc,events_raw_normaltime,finished,finished,2.0,0.0
matched,9431718,56,20/21,2021-04-15,partick-thistle,montrose,events_raw_normaltime,finished,finished,5.0,0.0
matched,9431719,56,20/21,2021-04-17,east-fife,peterhead,events_raw_normaltime,finished,finished,2.0,1.0
matched,9431720,56,20/21,2021-04-13,airdrieonians,forfar-athletic,events_raw_normaltime,finished,finished,3.0,1.0
matched,9431721,56,20/21,2021-04-15,clyde-fc,dumbarton,events_raw_normaltime,finished,finished,0.0,1.0
matched,9431722,56,20/21,2021-04-20,airdrieonians,east-fife,events_raw_normaltime,finished,finished,2.0,0.0
matched,9431723,56,20/21,2021-04-20,montrose,cove-rangers,events_raw_normaltime,finished,finished,1.0,0.0
matched,9431724,56,20/21,2021-04-20,forfar-athletic,clyde-fc,events_raw_normaltime,finished,finished,1.0,3.0
matched,9431725,56,20/21,2021-04-20,peterhead,falkirk-fc,events_raw_normaltime,finished,finished,1.0,0.0
matched,9431729,56,20/21,2021-04-20,dumbarton,partick-thistle,events_raw_normaltime,finished,finished,0.0,2.0
matched,9431730,57,20/21,2021-04-20,annan-athletic,stenhousemuir,events_raw_normaltime,finished,finished,5.0,1.0
matched,9431731,57,20/21,2021-04-17,elgin-city,albion-rovers,events_raw_normaltime,finished,finished,2.0,5.0
matched,9431732,57,20/21,2021-04-17,edinburgh-city-fc,queens-park-fc,events_raw_normaltime,finished,finished,2.0,3.0
matched,9431733,57,20/21,2021-04-20,queens-park-fc,elgin-city,events_raw_normaltime,finished,finished,0.0,0.0
matched,9431734,57,20/21,2021-04-20,brechin-city,cowdenbeath,events_raw_normaltime,finished,finished,0.0,0.0
