club,match_id,match_date,season,current_tier,previous_observed_tier,home_entry_match_number,window,home_score,away_score,goal_difference,method_note
kilmarnock,9573876,2021-10-02,21/22,55,55,4,1-5,1.0,3.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574081,2021-10-23,21/22,55,55,5,1-5,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573856,2021-10-30,21/22,55,55,6,6-10,4.0,0.0,4.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574296,2021-11-06,21/22,55,55,7,6-10,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574119,2021-11-20,21/22,55,55,8,6-10,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574488,2021-12-29,21/22,55,55,9,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574443,2022-01-29,21/22,55,55,10,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574324,2022-02-09,21/22,55,55,11,11-20,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10116325,2022-02-12,21/22,55,55,12,11-20,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574360,2022-02-19,21/22,55,55,13,11-20,3.0,0.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573912,2022-03-05,21/22,55,55,14,11-20,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573906,2022-03-19,21/22,55,55,15,11-20,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9574481,2022-03-26,21/22,55,55,16,11-20,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573981,2022-04-09,21/22,55,55,17,11-20,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573966,2022-04-22,21/22,55,55,18,11-20,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387375,2022-07-30,22/23,54,55,1,1-5,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387421,2022-08-14,22/23,54,54,2,1-5,0.0,5.0,-5.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387448,2022-08-27,22/23,54,54,3,1-5,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10717734,2022-10-05,22/23,54,54,4,1-5,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387494,2022-10-09,22/23,54,54,5,1-5,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387470,2022-10-22,22/23,54,54,6,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387506,2022-11-04,22/23,54,54,7,6-10,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387512,2022-11-12,22/23,54,54,8,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387495,2022-12-28,22/23,54,54,9,6-10,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387389,2023-01-02,22/23,54,54,10,6-10,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387404,2023-01-18,22/23,54,54,11,11-20,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387416,2023-02-01,22/23,54,54,12,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387441,2023-02-25,22/23,54,54,13,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387491,2023-03-18,22/23,54,54,14,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387479,2023-04-01,22/23,54,54,15,11-20,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,10387545,2023-04-16,22/23,54,54,16,11-20,1.0,4.0,-3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,11393254,2023-08-05,23/24,54,54,17,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,11393270,2023-09-02,23/24,54,54,18,11-20,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,11393276,2023-09-16,23/24,54,54,19,11-20,2.0,2.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,11393287,2023-09-30,23/24,54,54,20,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,8736198,2021-01-02,20/21,54,,1,1-5,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,8736276,2021-01-16,20/21,54,54,2,1-5,4.0,1.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,8736297,2021-01-27,20/21,54,54,3,1-5,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,8736281,2021-02-06,20/21,54,54,4,1-5,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
ross-county,8736239,2021-02-21,20/21,54,54,5,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
