portfolio_run_id,analysis_side,club,match_id,kickoff_date,movement_direction,window,selection,odds_close,stake_amount,pnl
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,13217663,2025-01-08,downward_tier_move,11-20,home,3.6330573387654135,8.34421853424328,-8.34421853424328
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476544,2025-01-11,downward_tier_move,11-20,home,3.7384448270659405,17.24897410912929,-17.24897410912929
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476529,2025-01-18,downward_tier_move,11-20,away,5.842811420780541,10.746049926425616,-10.746049926425616
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,14035486,2025-08-02,downward_tier_move,1-5,home,2.018480103661007,10.295654388448224,10.276200765828557
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035487,2025-08-02,upward_tier_move,1-5,home,2.204053499566434,16.326404651956974,19.26470736339597
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035497,2025-08-09,upward_tier_move,1-5,home,2.8612932023121673,17.488366567477428,-17.488366567477428
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035498,2025-08-09,upward_tier_move,1-5,away,6.0,34.02686510281206,-34.02686510281206
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,14035502,2025-08-09,downward_tier_move,1-5,away,3.5750000000000006,14.33425442148636,36.17249103262084
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035484,2025-08-16,upward_tier_move,1-5,away,6.217939252323812,9.44952729274745,48.32091818919744
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035489,2025-08-16,upward_tier_move,1-5,away,4.526001227319575,34.305867656149935,-34.305867656149935
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035493,2025-08-23,upward_tier_move,1-5,home,2.6300000000000003,21.22847819174082,33.91037106348679
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035505,2025-08-30,upward_tier_move,1-5,away,3.314305332762733,44.03592847258535,-44.03592847258535
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035509,2025-09-13,upward_tier_move,6-10,home,2.8440816821355557,5.456402405876479,9.860810692496447
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035511,2025-09-13,upward_tier_move,6-10,home,2.9249153267563694,8.58544263144393,-8.58544263144393
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035513,2025-09-20,upward_tier_move,6-10,home,2.12,1.9959404238576444,-1.9959404238576444
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035516,2025-09-20,upward_tier_move,6-10,away,3.6496205871220275,25.677004561878498,-25.677004561878498
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,14035694,2025-09-20,downward_tier_move,6-10,away,4.884719143406918,6.271672828035581,-6.271672828035581
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035519,2025-09-27,upward_tier_move,6-10,away,7.8,23.610442571866685,-23.610442571866685
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035521,2025-09-27,upward_tier_move,6-10,home,2.4299999999999997,12.83769271690018,17.99074257346391
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,annan-athletic,14035703,2025-09-27,downward_tier_move,6-10,home,4.442036195511815,15.316658805063078,51.66608412130521
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,14035522,2025-10-04,downward_tier_move,6-10,home,3.8298134271422586,44.28446832037904,122.8104474055273
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,east-fife,14035527,2025-10-18,upward_tier_move,6-10,away,3.4,1.3053133318972552,-1.3053133318972552
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,14035530,2025-10-18,downward_tier_move,6-10,away,2.303149500463471,7.038723217835679,8.989058472318737
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035531,2025-10-18,upward_tier_move,6-10,home,2.367477264256239,5.498444178337208,7.368617454605045
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035535,2025-10-25,upward_tier_move,11-20,home,4.473455024074132,29.46162107067078,-29.46162107067078
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035538,2025-11-01,upward_tier_move,11-20,away,2.7992982456140347,15.785583643570277,27.83491349675221
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,hamilton-academical,14035539,2025-11-01,downward_tier_move,11-20,away,2.58,1.5416088072176388,-1.5416088072176388
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035541,2025-11-08,upward_tier_move,11-20,away,5.478186478355484,26.083598450631463,-26.083598450631463
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,annan-athletic,14035718,2025-11-08,downward_tier_move,11-20,away,3.15,0.049718494824658836,-0.049718494824658836
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035549,2025-11-15,upward_tier_move,11-20,home,1.8845723085614337,0.30349578092162877,-0.30349578092162877
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035556,2025-11-22,upward_tier_move,11-20,home,2.3066416729701023,5.527813995950157,-5.527813995950157
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,peterhead,14035560,2025-12-06,upward_tier_move,11-20,away,4.296295802119203,51.48460075200577,-51.48460075200577
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,14035732,2025-12-06,downward_tier_move,11-20,away,4.017699499777171,3.955853830794235,-3.955853830794235
