match_id,tournament_id,match_date,bbc_home_shots,bbc_away_shots
14035634,56,2026-04-04,13,4
14035645,56,2026-04-04,12,15
15881894,56,2026-04-07,10,7
14035665,57,2025-08-02,18,2
14035666,57,2025-08-02,11,9
14035662,57,2025-08-02,9,8
14035664,57,2025-08-02,5,11
14035663,57,2025-08-02,7,10
14035669,57,2025-08-09,10,8
14035667,57,2025-08-09,11,2
14035671,57,2025-08-09,1,9
14035670,57,2025-08-09,8,7
14035668,57,2025-08-09,9,7
14035675,57,2025-08-16,16,8
14035672,57,2025-08-16,2,13
14035674,57,2025-08-16,19,11
14035676,57,2025-08-16,15,10
14035673,57,2025-08-16,15,6
14035678,57,2025-08-23,5,9
14035683,57,2025-08-23,11,8
15588896,57,2026-03-24,6,6
14035681,57,2025-08-23,14,12
14035679,57,2025-08-23,8,12
14035677,57,2025-08-23,19,8
14035680,57,2025-08-30,3,12
14035682,57,2025-08-30,7,6
14035686,57,2025-08-30,2,6
14035684,57,2025-08-30,12,9
14035685,57,2025-08-30,8,14
14035687,57,2025-09-13,11,8
14035695,57,2025-09-13,5,9
14035689,57,2025-09-13,5,14
14035692,57,2025-09-13,15,3
14035688,57,2025-09-13,6,18
14035694,57,2025-09-20,14,9
14035690,57,2025-09-20,11,4
14035693,57,2025-09-20,15,7
14035691,57,2025-09-20,8,10
14035700,57,2025-09-27,6,9
14035703,57,2025-09-27,9,6
14035697,57,2025-09-20,6,16
14035698,57,2025-09-27,10,10
14035696,57,2025-09-27,19,3
14035699,57,2025-09-27,12,16
14035706,57,2025-10-04,10,5
14035704,57,2025-10-04,13,6
14035702,57,2025-10-04,11,14
14035701,57,2025-10-04,10,8
14035705,57,2025-10-04,10,9
14035709,57,2025-10-18,14,9
14035708,57,2025-10-18,8,14
14035710,57,2025-10-18,15,12
14035707,57,2025-10-18,9,8
14035713,57,2025-11-01,4,17
14035714,57,2025-11-01,12,10
14035711,57,2025-10-18,11,8
14035716,57,2025-11-01,10,7
14035715,57,2025-11-01,19,13
14035712,57,2025-11-01,16,5
14035717,57,2025-11-08,5,13
14035718,57,2025-11-08,10,4
14035719,57,2025-11-08,2,9
14035735,57,2025-11-08,8,6
14035722,57,2025-11-15,16,8
14035721,57,2025-11-15,13,12
14035725,57,2025-11-15,6,14
14035724,57,2025-11-15,8,14
14035720,57,2025-11-08,13,11
14035727,57,2025-11-22,4,10
14035723,57,2025-11-15,7,10
14035729,57,2025-11-22,10,7
14035726,57,2025-11-22,9,19
14035730,57,2025-11-22,12,10
14035728,57,2025-11-22,15,25
14035731,57,2025-12-06,5,12
14035732,57,2025-12-06,9,6
14035736,57,2025-12-06,25,13
14035733,57,2025-12-06,15,17
14035739,57,2025-12-13,8,14
14035734,57,2025-12-06,9,20
14035740,57,2025-12-13,9,13
14035737,57,2025-12-13,12,4
14035738,57,2025-12-13,10,9
14035741,57,2025-12-13,18,11
14035742,57,2025-12-20,8,8
14035745,57,2025-12-20,10,13
14035747,57,2025-12-20,16,7
