match_id,tournament_id,season,match_date,home_team,away_team,home_goals,away_goals,bbc_shot_events_raw,bbc_shot_events_unresolved_side,bbc_shot_events_home_resolved,bbc_shot_events_away_resolved,bbc_parsed_home_resolved,bbc_parsed_away_resolved,proxy_xg_home,proxy_xg_away,proxy_xg_available_home,proxy_xg_available_away,proxy_xg_available_both,proxy_minus_goals_home,proxy_minus_goals_away
9431710,56,20/21,2021-04-10,forfar-athletic,east-fife,1,2,0,0,0,0,0,0,,,0,0,0,,
9431711,56,20/21,2021-04-10,falkirk-fc,clyde-fc,2,1,0,0,0,0,0,0,,,0,0,0,,
9431737,57,20/21,2021-04-10,stranraer,edinburgh-city-fc,0,1,0,0,0,0,0,0,,,0,0,0,,
9431742,57,20/21,2021-04-10,stenhousemuir,queens-park-fc,1,3,0,0,0,0,0,0,,,0,0,0,,
9431743,57,20/21,2021-04-10,cowdenbeath,elgin-city,1,0,0,0,0,0,0,0,,,0,0,0,,
9431751,57,20/21,2021-04-10,brechin-city,albion-rovers,2,4,0,0,0,0,0,0,,,0,0,0,,
9431752,57,20/21,2021-04-10,annan-athletic,stirling-albion,1,2,0,0,0,0,0,0,,,0,0,0,,
8824311,55,20/21,2021-04-13,queen-of-the-south,raith-rovers,0,1,0,0,0,0,0,0,,,0,0,0,,
9431712,56,20/21,2021-04-13,partick-thistle,clyde-fc,2,0,0,0,0,0,0,0,,,0,0,0,,
9431720,56,20/21,2021-04-13,airdrieonians,forfar-athletic,3,1,0,0,0,0,0,0,,,0,0,0,,
9431736,57,20/21,2021-04-13,albion-rovers,cowdenbeath,0,0,0,0,0,0,0,0,,,0,0,0,,
9431740,57,20/21,2021-04-13,stenhousemuir,elgin-city,2,0,0,0,0,0,0,0,,,0,0,0,,
9431741,57,20/21,2021-04-13,stirling-albion,stranraer,0,1,0,0,0,0,0,0,,,0,0,0,,
9431747,57,20/21,2021-04-13,edinburgh-city-fc,brechin-city,2,1,0,0,0,0,0,0,,,0,0,0,,
9431749,57,20/21,2021-04-13,queens-park-fc,annan-athletic,1,0,0,0,0,0,0,0,,,0,0,0,,
9431753,55,20/21,2021-04-13,dunfermline-athletic,dundee-fc,0,0,0,0,0,0,0,0,,,0,0,0,,
9431718,56,20/21,2021-04-15,partick-thistle,montrose,5,0,0,0,0,0,0,0,,,0,0,0,,
9431721,56,20/21,2021-04-15,clyde-fc,dumbarton,0,1,0,0,0,0,0,0,,,0,0,0,,
9431735,57,20/21,2021-04-15,stranraer,stenhousemuir,4,0,0,0,0,0,0,0,,,0,0,0,,
8824274,55,20/21,2021-04-17,dunfermline-athletic,queen-of-the-south,3,1,0,0,0,0,0,0,,,0,0,0,,
8824284,55,20/21,2021-04-17,arbroath,ayr-united,4,0,0,0,0,0,0,0,,,0,0,0,,
