environment,model,policy,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,win_rate_pct,n_capped,mean_exposure,delta_return_pp,delta_sharpe,core_n_bets,core_roi_pct,core_stake_vs_p0,delta_core_roi_pp,added_n_bets,added_win_rate_pct,added_roi_pct,added_stake_share_pct,added_edge_pp
t25,m05_joint_grw_baseline,+BTTS_no,1205,590.6114865511507,14.412584685668746,1.7252313908824535,-40.84688832723755,36.2655601659751,23,0.16268591020943304,81.0896512875371,0.10717621469747196,1123,14.471165628522447,0.9839021442687219,0.5198099509936789,82,50.0,13.024483155205745,4.049329685967043,3.992165566584556
t25,m05_joint_grw_baseline,+all_unders,1326,380.1222044329546,11.280718712550033,1.4446015395237324,-38.16007346986995,35.822021116138764,27,0.1725947854891587,-129.39963083065902,-0.17345363666124913,1123,14.143308466609291,0.952742669611894,0.19195278908052238,203,38.91625615763547,-8.900822011351332,12.422207714875732,4.7621994863418085
t25,m05_joint_grw_baseline,+all_fringe,1693,350.3076506518127,9.863257521163517,1.4182068415078886,-34.71254026478989,38.33431777909037,51,0.18914509540816274,-159.21418461180093,-0.19984833467709295,1123,14.803678387239467,0.8672296386237703,0.8523227097106982,570,44.3859649122807,-3.320967347885611,27.258027209334912,4.608456088131559
t25,m05_joint_grw_smile_supremacy_w040,P0 Option B,1112,381.22630248195276,15.143609857701351,1.2119581690347734,-42.145472078432114,31.02517985611511,12,0.1387951541816708,0.0,0.0,1112,15.143609857701355,1.0,0.0,0,NaN,NaN,0.0,NaN
t25,m05_joint_grw_smile_supremacy_w040,P0 ext book,1117,382.3781039797802,15.107160054041989,1.2142690626241075,-42.19524564546594,31.24440465532677,12,0.13926632986698914,0.0,0.0,1117,15.107160054041989,1.0,0.0,0,NaN,NaN,0.0,NaN
t25,m05_joint_grw_smile_supremacy_w040,+U0.5,1192,290.8982130912995,13.04603328025171,1.0587556349347071,-43.12655065901668,29.697986577181208,16,0.14409861958208642,-91.47989088848067,-0.15551342768940035,1117,15.030598242125517,0.9987897416886548,-0.07656181191647171,75,6.666666666666667,-42.15443243331799,3.470427380090626,3.410251180416434
t25,m05_joint_grw_smile_supremacy_w040,+U1.5,1216,368.0954248663813,14.491755943524192,1.1996149760172063,-40.51433033565194,29.851973684210524,14,0.14266291860375477,-14.282679113398899,-0.014654086606901151,1117,15.185570397342437,0.9920572300657929,0.0784103433004475,99,14.14141414141414,-6.796909984156813,3.156215503334025,2.6527361244379835
t25,m05_joint_grw_smile_supremacy_w040,+U3.5,1159,356.5791400448611,14.402980071483315,1.1895889042056338,-41.24347888545575,32.18291630716135,15,0.1411157247096922,-25.798963934919072,-0.024680158418473708,1117,15.041734718588843,0.9887713202934457,-0.06542533545314555,42,57.14285714285714,-11.367227025955914,2.4187041250778365,3.5629915178631713
t25,m05_joint_grw_smile_supremacy_w040,+U4.5,1119,384.3116837911247,15.12601354636173,1.2167586337415641,-42.19524564546594,31.36729222520107,12,0.1393983436635918,1.9335798113445435,0.0024895711174566237,1117,15.104548114289607,0.9999616716089899,-0.002611939752382497,2,100.0,36.88983905340981,0.098531766833454,9.216872299692463
t25,m05_joint_grw_smile_supremacy_w040,+O2.5,1232,390.701665217481,14.48316452080262,1.2336165304358773,-42.511587872626706,33.19805194805195,14,0.14619287938398043,8.323561237700801,0.01934746781176977,1117,14.84386141111534,0.9820707118051785,-0.2632986429266495,115,52.17391304347826,9.248133587318533,6.44593342761961,2.472743606750626
t25,m05_joint_grw_smile_supremacy_w040,+O3.5,1211,388.16662012758655,14.573188205372146,1.2311081833473796,-41.2194831986576,30.96614368290669,14,0.1446873522258134,5.7885161478063765,0.016839120723272094,1117,15.130558575910694,0.9996248244060898,0.023398521868704947,94,27.659574468085108,0.396328715516854,3.7828266276527516,2.0507236664649353
