environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
t25,+all_unders,m05_joint_grw_smile_spine_w040,family,O/U 4.5_under_45,1,100.0,35.28000000000001,0.025070403582797697,9.577152036808112,1.36,NaN
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,BTTS_btts_no,97,40.20618556701031,9.168548327499646,4.179913098654861,3.5519761385907707,2.3700986713671783,1.1639615161725299
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,BTTS_btts_yes,46,50.0,-38.21320361365002,2.487488625126646,1.0361248002998331,1.9011530828652028,0.19201477010190618
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 0.5_under_05,73,5.47945205479452,-46.07307661701615,1.5971042721871458,2.4456462786174313,15.982162663847772,0.6281052675190089
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 1.5_under_15,152,19.736842105263158,-14.141337846980349,6.7691502461548385,4.293899213135475,4.404449682001947,1.0564083231959907
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 2.5_over_25,64,54.6875,14.330244229720549,2.557995259740811,2.1357781699502967,2.1130155837642337,1.0540896834124345
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 3.5_over_35,116,27.586206896551722,-4.362474360519853,5.281239207757383,1.7610498509001715,3.231797168203258,1.2215297689375568
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 3.5_under_35,25,56.00000000000001,-3.9900827774915095,0.9584511729676133,3.5908312009084007,1.615358850759148,0.8236483895450211
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 4.5_over_45,46,4.3478260869565215,-43.6587245691052,1.9006623607066189,2.6546954078009652,6.548379455952535,1.8055261569623025
t25,+all_fringe,m05_joint_grw_smile_spine_w040,family,O/U 4.5_under_45,1,100.0,35.280000000000015,0.02174584030839608,9.577152036808112,1.36,NaN
