y,pressure,home,season,division,history_matches,pressure_z
0,1.1666666666666667,1,21/22,56,18,-0.23610210200513668
0,1.3888888888888888,0,21/22,56,18,0.5910839687842862
0,0.6470588235294118,1,21/22,57,17,-2.170257767527465
0,1.105263157894737,1,21/22,56,19,-0.4646666741969509
0,0.5714285714285714,1,21/22,56,21,-2.4517790773339496
0,1.2,0,21/22,56,20,-0.11202419138672362
0,1.4210526315789473,1,21/22,57,19,0.7108082685038081
0,1.0526315789473684,0,21/22,57,19,-0.6605791646470781
0,1.4210526315789473,1,21/22,56,19,0.7108082685038081
0,1.15,0,21/22,56,20,-0.29814105731434404
0,1.4736842105263157,1,21/22,57,19,0.9067207589539344
0,0.6666666666666666,0,21/22,57,18,-2.0972707612813397
0,1.0526315789473684,1,21/22,57,19,-0.6605791646470781
0,1.1578947368421053,0,21/22,57,19,-0.2687541837468245
0,1.9,0,21/22,56,20,2.49361193159996
0,1.15,1,21/22,56,20,-0.29814105731434404
0,1.15,0,21/22,56,20,-0.29814105731434404
0,1.9,0,21/22,57,20,2.49361193159996
0,0.8,1,21/22,56,20,-1.6009591188076853
0,1.1578947368421053,0,21/22,56,19,-0.2687541837468245
0,1.05,1,21/22,57,20,-0.670374789169584
0,0.55,0,21/22,57,20,-2.5315434484457864
0,1.8095238095238095,1,21/22,57,21,2.1568290313499805
0,1.45,0,21/22,57,20,0.8185601382513776
0,1.0952380952380953,1,21/22,56,21,-0.501983339044594
0,1.2380952380952381,0,21/22,56,21,0.0297791350343207
0,0.5714285714285714,1,21/22,57,21,-2.4517790773339496
0,1.15,0,21/22,57,20,-0.29814105731434404
0,1.1904761904761905,1,21/22,56,21,-0.1474750229919845
0,0.5909090909090909,0,21/22,56,22,-2.379266012686825
0,1.5,1,21/22,56,20,1.004677004178998
0,1.8571428571428572,0,21/22,56,21,2.334083189376286
0,0.6842105263157895,1,21/22,57,19,-2.0319665977979637
0,1.35,0,21/22,57,20,0.44632640639613763
0,1.15,1,21/22,57,20,-0.29814105731434404
0,1.0,0,21/22,57,20,-0.8564916550972045
0,1.0952380952380953,1,21/22,56,21,-0.501983339044594
0,0.8571428571428571,0,21/22,56,21,-1.3882541291761197
0,0.5909090909090909,1,21/22,57,22,-2.379266012686825
0,1.3333333333333333,0,21/22,57,21,0.3842874510869303
0,1.4285714285714286,0,21/22,56,21,0.7387957671395406
0,1.8181818181818181,1,21/22,56,22,2.189057060082036
0,1.2,0,21/22,56,20,-0.11202419138672362
0,1.1818181818181819,1,21/22,56,22,-0.1797030517240397
0,1.1363636363636365,0,21/22,56,22,-0.3489002025673307
0,0.8181818181818182,1,21/22,56,22,-1.5332802584703689
0,1.1363636363636365,0,21/22,56,22,-0.3489002025673307
0,1.3636363636363635,1,21/22,57,22,0.49708555164912427
0,1.8181818181818181,0,21/22,57,22,2.189057060082036
0,1.1904761904761905,1,21/22,57,21,-0.1474750229919845
0,1.0476190476190477,0,21/22,57,21,-0.6792374970708993
