match_id,tournament_id,season,match_date,home_team,away_team,overall_home,overall_away,non_penalty_non_own_goal_home,non_penalty_non_own_goal_away,penalty_goal_home,penalty_goal_away,penalty_awarded_home,penalty_awarded_away,penalty_missed_home,penalty_missed_away,own_goal_home,own_goal_away,usable_for_components,quarantine_reason,referee,referee_name,referee_id,referee_present,sofascore_referee_present
8824189,57,20/21,2020-12-19T15:00:00+00:00,stranraer,albion-rovers,4,0,4,0,0,0,0,1,0,1,0,0,true,,Calum Scott,Calum Scott,4pd0cg3g2g69d4rk8cpecp0wl,true,false
8824205,57,20/21,2020-12-19T15:00:00+00:00,elgin-city,stenhousemuir,2,0,2,0,0,0,0,0,0,0,0,0,true,,Steven Reid,Steven Reid,3zu5nxywlbxjpwazsvktn6tat,true,false
8824211,56,20/21,2020-12-19T15:00:00+00:00,east-fife,forfar-athletic,2,0,2,0,0,0,0,0,0,0,0,0,true,,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,true,false
8824193,56,20/21,2020-12-20T12:00:00+00:00,falkirk-fc,airdrieonians,0,1,0,1,0,0,0,0,0,0,0,0,true,,Alan Newlands,Alan Newlands,8dzc0favgeocs0qf3qjvxkhxx,true,false
8824160,56,20/21,2020-12-22T19:45:00+00:00,peterhead,montrose,1,1,0,0,1,1,1,1,0,0,0,0,true,,Graham Grainger,Graham Grainger,9k3hqjvkmo76ie1hf24h5tnf9,true,false
9242606,57,20/21,2020-12-22T19:45:00+00:00,brechin-city,annan-athletic,0,0,0,0,0,0,0,0,0,0,0,0,true,,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,true,false
8824194,56,20/21,2020-12-26T12:00:00+00:00,falkirk-fc,partick-thistle,0,0,0,0,0,0,0,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
8824154,56,20/21,2020-12-26T15:00:00+00:00,clyde-fc,airdrieonians,2,4,2,4,0,0,0,0,0,0,0,0,true,,Grant Irvine,Grant Irvine,jpxnj3ldprjwce3a2be0yqxh,true,false
8824183,56,20/21,2020-12-26T15:00:00+00:00,forfar-athletic,cove-rangers,0,1,0,1,0,0,0,0,0,0,0,0,true,,David Lowe,David Lowe,8j68r4kmdypfbbdem779m7kl,true,false
8824178,56,20/21,2021-01-02T15:00:00+00:00,montrose,forfar-athletic,0,0,0,0,0,0,0,0,0,0,0,0,true,,Scott Lambie,Scott Lambie,dzranvufdfmhfamhzvzt6aok5,true,false
8824191,57,20/21,2021-01-02T15:00:00+00:00,stranraer,annan-athletic,2,0,1,0,1,0,1,0,0,0,0,0,true,,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,true,false
8824192,56,20/21,2021-01-02T15:00:00+00:00,east-fife,falkirk-fc,2,1,2,1,0,0,0,0,0,0,0,0,true,,Graham Beaton,Graham Beaton,bxvet3x1qjc6n0o20o7h28uz9,true,false
8824212,56,20/21,2021-01-02T15:00:00+00:00,cove-rangers,peterhead,1,0,1,0,0,0,0,0,0,0,0,0,true,,Peter Stuart,Peter Stuart,9dgds61vqncdtk8t34o2xzmc5,true,false
9398797,56,20/21,2021-03-20T15:00:00+00:00,dumbarton,forfar-athletic,0,1,0,0,0,0,0,0,0,0,0,1,true,,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,true,false
9398799,56,20/21,2021-03-20T15:00:00+00:00,clyde-fc,east-fife,1,3,1,3,0,0,0,0,0,0,0,0,true,,Chris Graham,Chris Graham,j8g304sx1bb6gdsqflnnx711,true,false
9398848,56,20/21,2021-03-20T15:00:00+00:00,peterhead,airdrieonians,1,0,1,0,0,0,0,0,0,0,0,0,true,,Steven Kirkland,Steven Kirkland,8eqxby1ierpiog6g3sh955iad,true,false
