fold,match_id,home_team,away_team,match_date,turf_home,turf_away,turf_asym,midweek,rest_diff,unmapped
26,14035528,cove-rangers,stenhousemuir,2025-10-18,1.0,1.0,0.0,0.0,0.0,
26,14035531,peterhead,queen-of-the-south,2025-10-18,0.0,1.0,0.0,0.0,0.0,
26,14035527,alloa-athletic,east-fife,2025-10-18,1.0,1.0,0.0,0.0,-3.0,
26,14035530,montrose,hamilton-academical,2025-10-18,1.0,1.0,0.0,0.0,0.0,
26,14035709,east-kilbride,elgin-city,2025-10-18,1.0,0.0,1.0,0.0,0.0,
26,14035708,dumbarton,the-spartans-fc,2025-10-18,0.0,1.0,0.0,0.0,0.0,
26,14035710,edinburgh-city-fc,stranraer,2025-10-18,1.0,0.0,1.0,0.0,0.0,
26,14035707,annan-athletic,stirling-albion,2025-10-18,1.0,0.0,1.0,0.0,0.0,
26,14035711,forfar-athletic,clyde-fc,2025-10-18,1.0,1.0,0.0,0.0,0.0,
27,14035532,hamilton-academical,queen-of-the-south,2025-10-24,1.0,1.0,0.0,1.0,0.0,
27,14035534,montrose,cove-rangers,2025-10-25,1.0,1.0,0.0,0.0,0.0,
27,14035533,kelty-hearts-fc,east-fife,2025-10-25,1.0,1.0,0.0,0.0,0.0,
27,14035535,peterhead,inverness-caledonian-thistle,2025-10-25,0.0,0.0,0.0,0.0,0.0,
27,14297746,alloa-athletic,stenhousemuir,2025-10-25,1.0,1.0,0.0,0.0,0.0,
27,14035538,cove-rangers,peterhead,2025-11-01,1.0,0.0,1.0,0.0,0.0,
27,14035539,east-fife,hamilton-academical,2025-11-01,1.0,1.0,0.0,0.0,-1.0,
27,14035536,alloa-athletic,kelty-hearts-fc,2025-11-01,1.0,1.0,0.0,0.0,0.0,
27,14035540,inverness-caledonian-thistle,montrose,2025-11-01,0.0,1.0,0.0,0.0,0.0,
27,14035542,queen-of-the-south,stenhousemuir,2025-11-01,1.0,1.0,0.0,0.0,1.0,
27,14035713,stirling-albion,edinburgh-city-fc,2025-11-01,0.0,1.0,0.0,0.0,0.0,
27,14035714,clyde-fc,dumbarton,2025-11-01,1.0,0.0,1.0,0.0,0.0,
27,14035716,the-spartans-fc,east-kilbride,2025-11-01,1.0,1.0,0.0,0.0,0.0,
27,14035715,stranraer,forfar-athletic,2025-11-01,0.0,1.0,0.0,0.0,0.0,
27,14035712,elgin-city,annan-athletic,2025-11-01,0.0,1.0,0.0,0.0,0.0,
28,14035546,inverness-caledonian-thistle,cove-rangers,2025-11-08,0.0,1.0,0.0,0.0,0.0,
28,14035541,hamilton-academical,peterhead,2025-11-08,1.0,0.0,1.0,0.0,0.0,
28,14035544,stenhousemuir,kelty-hearts-fc,2025-11-08,1.0,1.0,0.0,0.0,0.0,
28,14035545,queen-of-the-south,east-fife,2025-11-08,1.0,1.0,0.0,0.0,0.0,
28,14035543,montrose,alloa-athletic,2025-11-08,1.0,1.0,0.0,0.0,0.0,
28,14035548,kelty-hearts-fc,queen-of-the-south,2025-11-15,1.0,1.0,0.0,0.0,0.0,
28,14035555,cove-rangers,hamilton-academical,2025-11-15,1.0,1.0,0.0,0.0,0.0,
28,14035549,peterhead,montrose,2025-11-15,0.0,1.0,0.0,0.0,0.0,
28,14035554,east-fife,stenhousemuir,2025-11-15,1.0,1.0,0.0,0.0,0.0,
28,14035717,edinburgh-city-fc,elgin-city,2025-11-08,1.0,0.0,1.0,0.0,0.0,
28,14035718,dumbarton,annan-athletic,2025-11-08,0.0,1.0,0.0,0.0,0.0,
28,14035719,forfar-athletic,the-spartans-fc,2025-11-08,1.0,1.0,0.0,0.0,0.0,
28,14035735,clyde-fc,stranraer,2025-11-08,1.0,0.0,1.0,0.0,0.0,
28,14035720,east-kilbride,stirling-albion,2025-11-08,1.0,0.0,1.0,0.0,0.0,
28,14035722,elgin-city,dumbarton,2025-11-15,0.0,0.0,0.0,0.0,0.0,
28,14035721,annan-athletic,edinburgh-city-fc,2025-11-15,1.0,1.0,0.0,0.0,0.0,
28,14035725,the-spartans-fc,clyde-fc,2025-11-15,1.0,1.0,0.0,0.0,0.0,
28,14035724,stranraer,east-kilbride,2025-11-15,0.0,1.0,0.0,0.0,0.0,
28,14035723,stirling-albion,forfar-athletic,2025-11-15,0.0,1.0,0.0,0.0,0.0,
29,14035551,hamilton-academical,kelty-hearts-fc,2025-11-22,1.0,1.0,0.0,0.0,0.0,
29,14035559,montrose,east-fife,2025-11-22,1.0,1.0,0.0,0.0,0.0,
