team,mean,sd,q05,q50,q95,p_above_base,model,fold
forfar-athletic,0.12707760051899297,0.06084807366778327,0.027753742713029154,0.1279469919856242,0.22676148037805136,0.504,m12_joint_hybrid_synergy_hier_ha,2
cove-rangers,0.12704186480747443,0.0630708226782669,0.024695813493703596,0.12867185657153643,0.23139089679017474,0.5145,m12_joint_hybrid_synergy_hier_ha,2
hamilton-academical,0.12634017150062038,0.06176603428186163,0.026387663936789048,0.1267368820498531,0.2277415119451435,0.497,m12_joint_hybrid_synergy_hier_ha,2
albion-rovers,0.1257672270271404,0.06730555207166346,0.016234992312610278,0.12630290225700924,0.2361101849847872,0.493,m12_joint_hybrid_synergy_hier_ha,2
edinburgh-city-fc,0.12517457899437925,0.06058896179636632,0.025009679906087542,0.12568106211770588,0.22394557325642805,0.48575,m12_joint_hybrid_synergy_hier_ha,2
falkirk-fc,0.124967803443797,0.06335908365299527,0.02216038922788856,0.12548129977881178,0.2272358255301204,0.4875,m12_joint_hybrid_synergy_hier_ha,2
arbroath,0.12310555892156674,0.067619491913787,0.013942457439405058,0.12250614138265528,0.23042692071935877,0.47125,m12_joint_hybrid_synergy_hier_ha,2
stirling-albion,0.12248221902272237,0.060354572254848665,0.02572268836028256,0.1241287423709862,0.21545171036161165,0.47575,m12_joint_hybrid_synergy_hier_ha,2
kelty-hearts-fc,0.11862776913183583,0.06310125231624616,0.014025436227404021,0.12039481312623489,0.21882565543346297,0.44725,m12_joint_hybrid_synergy_hier_ha,2
clyde-fc,0.11758646508795846,0.06258797893475768,0.010660140908275217,0.12078181523380557,0.2124946484720749,0.44275,m12_joint_hybrid_synergy_hier_ha,2
stenhousemuir,0.11585439324254003,0.06256898953096675,0.010561014888872452,0.11765430286191603,0.21420639042885803,0.4215,m12_joint_hybrid_synergy_hier_ha,2
alloa-athletic,0.11233925283167437,0.06465036913972937,0.0016621280696293783,0.11643437340384366,0.21016411343893218,0.408,m12_joint_hybrid_synergy_hier_ha,2
east-fife,0.10959531959837793,0.06489061104641129,-0.002671152741243086,0.11445172038764596,0.2056646115085587,0.386,m12_joint_hybrid_synergy_hier_ha,2
the-spartans-fc,0.10808414324630819,0.06755472992327363,-0.007882574769716459,0.11346737223742961,0.2077330448437495,0.377,m12_joint_hybrid_synergy_hier_ha,2
airdrieonians,0.267883055571662,0.1255433082822961,0.08933124331871603,0.25447801078473387,0.48941543582876157,0.904,m12_joint_hybrid_synergy_grw_hier_ha,1
stranraer,0.24294303615649052,0.09490312092774687,0.09860565609674271,0.23766712272436427,0.40877597651645803,0.914,m12_joint_hybrid_synergy_grw_hier_ha,1
annan-athletic,0.24004475350173782,0.09310744929020098,0.09458699613368861,0.23530756923395285,0.401620895400198,0.9185,m12_joint_hybrid_synergy_grw_hier_ha,1
stirling-albion,0.2350763326031461,0.09428532783245609,0.09207755173119334,0.23077796546209983,0.3972729886297402,0.8985,m12_joint_hybrid_synergy_grw_hier_ha,1
queen-of-the-south,0.17458185889685196,0.08325385864582671,0.045022077141532946,0.1709736481115101,0.31642761962737487,0.7465,m12_joint_hybrid_synergy_grw_hier_ha,1
elgin-city,0.16099593532800816,0.08387184123970672,0.029919142061883827,0.1565085827461743,0.30577956262430656,0.68225,m12_joint_hybrid_synergy_grw_hier_ha,1
